Industry,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
            Nondurable goods,,7.117008443908324,-6.531531531531531,-59.036144578313255,17.647058823529417,-7.750000000000002,-5.420054200542001,-18.911174785100282,-13.07420494699647,11.382113821138207,22.99270072992701,-2.077151335311578
            Oil and gas extraction,,-25.92592592592593,25.0,-18.000000000000004,-41.463414634146346,-62.5,-55.55555555555556,0.0,-50.0,0.0,0.0,0.0
            Other retail,,10.15037593984962,2.3890784982935065,25.333333333333343,40.15957446808511,-22.77039848197343,16.70761670761671,49.684210526315795,-36.990154711673696,43.52678571428572,6.842923794712297,4.949053857350805
            Other transportation and support activities,,-33.333333333333336,-37.5,-9.999999999999998,144.44444444444446,-31.818181818181824,-6.666666666666665,157.14285714285717,-16.666666666666664,-36.66666666666667,5.263157894736836,5.000000000000004
            Pipeline transportation,,,,,inf,100.0,0.0,0.0,-50.0,0.0,0.0,0.0
"            Publishing industries, except internet (includes software)",,-14.593301435406703,-9.80392156862745,67.0807453416149,-14.12639405204461,-18.181818181818176,-24.86772486772487,8.098591549295776,-0.32573289902280145,9.477124183006547,17.01492537313434,21.42857142857142
            Rail transportation,,-66.66666666666667,100.0,0.0,100.0,25.0,-19.999999999999996,0.0,0.0,25.0,19.999999999999996,-33.333333333333336
            Real estate and rental and leasing,,0.0,0.0,50.0,100.0,16.666666666666675,-14.28571428571429,16.666666666666675,28.57142857142858,-11.111111111111116,0.0,0.0
            Support activities for mining,,-22.22222222222222,21.42857142857142,-11.764705882352944,-40.0,-66.66666666666667,-33.333333333333336,0.0,-50.0,0.0,0.0,0.0
            Transit and ground passenger transportation,,-100.0,,,,,,inf,-100.0,,,inf
            Truck transportation,,-0.4115226337448541,2.3415977961432466,-8.479138627187076,1.6176470588235237,12.011577424023145,4.134366925064592,-5.955334987593053,4.74934036939314,0.0,11.335012594458437,-10.746606334841625
            Warehousing and storage,,0.0,-25.0,0.0,33.33333333333333,25.0,0.0,0.0,-40.0,33.33333333333333,0.0,0.0
            Water transportation,,0.0,0.0,0.0,100.0,-100.0,inf,100.0,-50.0,0.0,-100.0,
"        Arts, entertainment, recreation, accommodation, and food services",,11.20000000000001,8.633093525179847,-1.9867549668874163,4.054054054054057,10.389610389610393,2.941176470588225,5.714285714285716,-10.270270270270265,1.8072289156626509,-8.284023668639051,3.2258064516129004
        Construction,,-8.616187989556135,47.14285714285715,19.999999999999996,5.663430420711979,39.81623277182236,-40.30668127053669,0.0,0.0,52.660550458715605,0.0,0.0
"        Finance, insurance, real estate, rental, and leasing",,-39.606126914660834,-21.014492753623195,47.706422018348626,17.701863354037272,-17.678100263852247,-22.435897435897434,-17.355371900826444,-29.500000000000004,8.51063829787233,100.0,-1.3071895424836555
        Mining,,-25.0,25.92592592592593,-14.70588235294118,-41.379310344827594,-61.76470588235294,-61.53846153846154,39.99999999999999,-57.14285714285714,0.0,0.0,-33.333333333333336
"        Other services, except government",,0.0,0.0,0.0,25.0,0.0,-19.999999999999996,50.0,-16.666666666666664,19.999999999999996,16.666666666666675,-14.28571428571429
        Retail trade,,11.43790849673203,2.346041055718473,23.495702005730656,39.67517401392111,-21.42857142857143,17.124735729386884,47.111913357400724,-35.214723926380366,41.09848484848484,4.295302013422808,4.890604890604888
        Utilities,,-50.0,0.0,200.0,0.0,0.0,-33.333333333333336,0.0,0.0,0.0,0.0,0.0
